name,value
eval_piece_values_0_0,100
eval_piece_values_0_1,320
eval_piece_values_0_2,330
eval_piece_values_0_3,500
eval_piece_values_0_4,900
eval_piece_values_1_0,100
eval_piece_values_1_1,320
eval_piece_values_1_2,330
eval_piece_values_1_3,500
eval_piece_values_1_4,900
eval_psqt_0_0_0,0
eval_psqt_0_0_1,0
eval_psqt_0_0_2,0
eval_psqt_0_0_3,0
eval_psqt_0_0_4,0
eval_psqt_0_0_5,0
eval_psqt_0_0_6,0
eval_psqt_0_0_7,0
eval_psqt_0_0_8,-35
eval_psqt_0_0_9,-1
eval_psqt_0_0_10,-20
eval_psqt_0_0_11,-23
eval_psqt_0_0_12,-15
eval_psqt_0_0_13,24
eval_psqt_0_0_14,38
eval_psqt_0_0_15,-22
eval_psqt_0_0_16,-26
eval_psqt_0_0_17,-4
eval_psqt_0_0_18,-4
eval_psqt_0_0_19,-10
eval_psqt_0_0_20,3
eval_psqt_0_0_21,3
eval_psqt_0_0_22,33
eval_psqt_0_0_23,-12
eval_psqt_0_0_24,-27
eval_psqt_0_0_25,-2
eval_psqt_0_0_26,-5
eval_psqt_0_0_27,12
eval_psqt_0_0_28,17
eval_psqt_0_0_29,6
eval_psqt_0_0_30,10
eval_psqt_0_0_31,-25
eval_psqt_0_0_32,-14
eval_psqt_0_0_33,13
eval_psqt_0_0_34,6
eval_psqt_0_0_35,21
eval_psqt_0_0_36,23
eval_psqt_0_0_37,12
eval_psqt_0_0_38,17
eval_psqt_0_0_39,-23
eval_psqt_0_0_40,-6
eval_psqt_0_0_41,7
eval_psqt_0_0_42,26
eval_psqt_0_0_43,31
eval_psqt_0_0_44,65
eval_psqt_0_0_45,56
eval_psqt_0_0_46,25
eval_psqt_0_0_47,-20
eval_psqt_0_0_48,98
eval_psqt_0_0_49,134
eval_psqt_0_0_50,61
eval_psqt_0_0_51,95
eval_psqt_0_0_52,68
eval_psqt_0_0_53,126
eval_psqt_0_0_54,34
eval_psqt_0_0_55,-11
eval_psqt_0_0_56,0
eval_psqt_0_0_57,0
eval_psqt_0_0_58,0
eval_psqt_0_0_59,0
eval_psqt_0_0_60,0
eval_psqt_0_0_61,0
eval_psqt_0_0_62,0
eval_psqt_0_0_63,0
eval_psqt_0_1_0,-105
eval_psqt_0_1_1,-21
eval_psqt_0_1_2,-58
eval_psqt_0_1_3,-33
eval_psqt_0_1_4,-17
eval_psqt_0_1_5,-28
eval_psqt_0_1_6,-19
eval_psqt_0_1_7,-23
eval_psqt_0_1_8,-29
eval_psqt_0_1_9,-53
eval_psqt_0_1_10,-12
eval_psqt_0_1_11,-3
eval_psqt_0_1_12,-1
eval_psqt_0_1_13,18
eval_psqt_0_1_14,-14
eval_psqt_0_1_15,-19
eval_psqt_0_1_16,-23
eval_psqt_0_1_17,-9
eval_psqt_0_1_18,12
eval_psqt_0_1_19,10
eval_psqt_0_1_20,19
eval_psqt_0_1_21,17
eval_psqt_0_1_22,25
eval_psqt_0_1_23,-16
eval_psqt_0_1_24,-13
eval_psqt_0_1_25,4
eval_psqt_0_1_26,16
eval_psqt_0_1_27,13
eval_psqt_0_1_28,28
eval_psqt_0_1_29,19
eval_psqt_0_1_30,21
eval_psqt_0_1_31,-8
eval_psqt_0_1_32,-9
eval_psqt_0_1_33,17
eval_psqt_0_1_34,19
eval_psqt_0_1_35,53
eval_psqt_0_1_36,37
eval_psqt_0_1_37,69
eval_psqt_0_1_38,18
eval_psqt_0_1_39,22
eval_psqt_0_1_40,-47
eval_psqt_0_1_41,60
eval_psqt_0_1_42,37
eval_psqt_0_1_43,65
eval_psqt_0_1_44,84
eval_psqt_0_1_45,129
eval_psqt_0_1_46,73
eval_psqt_0_1_47,44
eval_psqt_0_1_48,-73
eval_psqt_0_1_49,-41
eval_psqt_0_1_50,72
eval_psqt_0_1_51,36
eval_psqt_0_1_52,23
eval_psqt_0_1_53,62
eval_psqt_0_1_54,7
eval_psqt_0_1_55,-17
eval_psqt_0_1_56,-167
eval_psqt_0_1_57,-89
eval_psqt_0_1_58,-34
eval_psqt_0_1_59,-49
eval_psqt_0_1_60,61
eval_psqt_0_1_61,-97
eval_psqt_0_1_62,-15
eval_psqt_0_1_63,-107
eval_psqt_0_2_0,-33
eval_psqt_0_2_1,-3
eval_psqt_0_2_2,-14
eval_psqt_0_2_3,-21
